,RSN,YEAR_REGISTERED,YEAR_EVALUATED,YEAR_BUILT,PROPERTY_TYPE,WARD,WARDNAME,SITE_ADDRESS,CONFIRMED_STOREYS,CONFIRMED_UNITS,EVALUATION_COMPLETED_ON,SCORE,RESULTS_OF_SCORE,NO_OF_AREAS_EVALUATED,ENTRANCE_LOBBY,ENTRANCE_DOORS_WINDOWS,SECURITY,STAIRWELLS,LAUNDRY_ROOMS,INTERNAL_GUARDS_HANDRAILS,GARBAGE_CHUTE_ROOMS,GARBAGE_BIN_STORAGE_AREA,ELEVATORS,STORAGE_AREAS_LOCKERS,INTERIOR_WALL_CEILING_FLOOR,INTERIOR_LIGHTING_LEVELS,GRAFFITI,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,BALCONY_GUARDS,WATER_PEN_EXT_BLDG_ELEMENTS,PARKING_AREA,OTHER_FACILITIES,GRID,LATITUDE,LONGITUDE,X,Y
1925,4154702,2017,,1974,TCHC,18,Willowdale,35 PARK HOME AVE,10,283,2022-05-13,88,Evaluation needs to be conducted in 3 years,18,4,4,5,4,5,4,4,5,5,,3,4,5,5,4,5,5,4,4,,N1824,43.768124338,-79.415525902,311585.335,4847355.239
10155,4154703,2017,2017,1966,PRIVATE,18,Willowdale,55 ELLERSLIE AVE,17,391,2017-11-14,71,Evaluation needs to be conducted in 2 years,18,4,3,4,3,3,3,4,3,3,,4,4,5,3,4,4,4,3,3,,N1824,43.771150914,-79.414752626,311643.273,4847712.184
5881,4154703,2017,2019,1966,PRIVATE,18,Willowdale,55 ELLERSLIE AVE,17,391,2019-11-18,86,Evaluation needs to be conducted in 3 years,19,5,5,4,4,4,4,4,4,4,,4,5,5,4,5,4,5,4,4,4,N1824,43.771150914,-79.414752626,311643.273,4847712.184
1120,4154703,2017,,1966,PRIVATE,18,Willowdale,55 ELLERSLIE AVE,17,391,2022-11-07,93,Evaluation needs to be conducted in 3 years,19,5,5,5,4,5,5,5,5,3,,4,5,5,3,5,5,5,4,5,5,N1824,43.771150914,-79.414752626,311643.273,4847712.184
11543,4154704,2017,2017,1958,PRIVATE,18,Willowdale,11 CHURCHILL AVE,3,17,2017-10-11,64,Evaluation needs to be conducted in 1 year,15,3,3,3,3,3,3,,3,,,3,3,5,2,3,3,,5,3,,N1824,43.7734165941,-79.4148210265,311641.756,4847942.3
7951,4154704,2017,2018,1958,PRIVATE,18,Willowdale,11 CHURCHILL AVE,3,17,2019-01-04,91,Evaluation needs to be conducted in 3 years,16,5,3,5,4,4,5,4,5,,,5,5,5,4,5,5,,4,5,,N1824,43.7734165941,-79.4148210265,311641.756,4847942.3
2631,4154704,2017,2021,1958,PRIVATE,18,Willowdale,11 CHURCHILL AVE,3,17,2021-10-26,80,Evaluation needs to be conducted in 2 years,15,4,4,4,4,4,4,,4,,,3,4,5,4,4,4,,4,4,,N1824,43.7734165941,-79.4148210265,311641.756,4847942.3
8566,4154705,2017,2017,1986,TCHC,18,Willowdale,5430 YONGE ST,14,239,2018-01-09,77,Evaluation needs to be conducted in 2 years,18,4,4,4,4,4,3,4,4,3,,4,4,5,4,4,4,,3,3,4,N1824,43.7759712605,-79.4152224497,311609.151,4848226.096
1948,4154705,2017,,1986,TCHC,18,Willowdale,5430 YONGE ST,14,239,2022-05-12,85,Evaluation needs to be conducted in 2 years,19,4,4,5,3,4,4,4,4,5,4,4,5,5,4,5,5,,4,4,4,N1824,43.7759712605,-79.4152224497,311609.151,4848226.096
9208,4154708,2020,2017,,PRIVATE,18,Willowdale,2 ANCONA ST,4,32,2017-12-12,61,Evaluation needs to be conducted in 1 year,17,3,2,3,3,3,3,,4,3,,3,3,5,3,3,3,3,3,2,,N1822,43.7749913097,-79.439415264,309661.717,4848115.514
7317,4154708,2020,2018,,PRIVATE,18,Willowdale,2 ANCONA ST,4,32,2019-02-07,53,Evaluation needs to be conducted in 1 year,17,3,3,3,3,2,3,,4,2,,2,3,5,1,2,2,3,2,2,,N1822,43.7749913097,-79.439415264,309661.717,4848115.514
4974,4154708,2020,2019,,PRIVATE,18,Willowdale,2 ANCONA ST,4,32,2019-12-12,49,Building Audit,17,2,2,2,2,2,3,,2,2,,2,3,5,2,2,3,3,3,2,,N1822,43.7749913097,-79.439415264,309661.717,4848115.514
3571,4154708,2020,2020,,PRIVATE,18,Willowdale,2 ANCONA ST,4,32,2020-12-16,62,Evaluation needs to be conducted in 1 year,18,4,4,4,3,3,3,,3,3,2,3,5,4,2,3,3,2,3,2,,N1822,43.7749913097,-79.439415264,309661.717,4848115.514
2332,4154708,2020,2021,,PRIVATE,18,Willowdale,2 ANCONA ST,4,32,2021-11-15,80,Evaluation needs to be conducted in 2 years,18,4,4,4,4,4,4,,4,4,4,4,4,5,4,4,4,4,4,3,,N1822,43.7749913097,-79.439415264,309661.717,4848115.514
9443,4154709,2017,2017,1961,PRIVATE,18,Willowdale,286 FINCH AVE W,4,47,2017-12-04,64,Evaluation needs to be conducted in 1 year,17,3,3,4,3,3,3,,3,3,,3,3,5,3,3,3,3,3,3,,N1822,43.774699028,-79.440090341,309595.944,4848123.374
7325,4154709,2017,2018,1961,PRIVATE,18,Willowdale,286 FINCH AVE W,4,47,2019-02-07,73,Evaluation needs to be conducted in 2 years,18,4,4,4,4,3,4,,3,3,4,3,4,5,3,3,4,4,4,3,,N1822,43.774699028,-79.440090341,309595.944,4848123.374
4619,4154709,2017,2020,1961,PRIVATE,18,Willowdale,286 FINCH AVE W,4,47,2020-11-03,86,Evaluation needs to be conducted in 3 years,17,5,5,5,4,5,4,,3,4,,4,4,5,5,4,5,5,4,2,,N1822,43.774699028,-79.440090341,309595.944,4848123.374
11586,4154710,2017,2017,1959,PRIVATE,18,Willowdale,292 FINCH AVE W,4,39,2017-10-11,74,Evaluation needs to be conducted in 2 years,17,4,4,4,3,4,3,,2,5,,4,3,5,3,4,4,3,5,3,,N1822,43.7746707581,-79.4407135856,309557.229,4848079.829
6003,4154710,2017,2019,1959,PRIVATE,18,Willowdale,292 FINCH AVE W,4,39,2019-11-06,80,Evaluation needs to be conducted in 2 years,17,5,3,3,5,5,5,,4,5,,3,3,5,3,5,5,3,3,3,,N1822,43.7746707581,-79.4407135856,309557.229,4848079.829
2678,4154710,2017,2021,1959,PRIVATE,18,Willowdale,292 FINCH AVE W,4,39,2021-10-21,86,Evaluation needs to be conducted in 3 years,17,4,4,5,4,5,4,,4,5,,4,4,5,4,5,4,4,4,4,,N1822,43.7746707581,-79.4407135856,309557.229,4848079.829
9183,4154711,2020,2017,1962,PRIVATE,18,Willowdale,296 FINCH AVE W,4,30,2017-12-12,66,Evaluation needs to be conducted in 2 years,16,4,3,4,3,,3,,4,3,,3,3,4,3,3,4,3,3,3,,N1822,43.7745588068,-79.4412316023,309515.538,4848067.363
6004,4154711,2020,2019,1962,PRIVATE,18,Willowdale,296 FINCH AVE W,4,30,2019-11-06,72,Evaluation needs to be conducted in 2 years,18,5,3,5,5,3,5,,2,3,2,3,5,3,2,5,5,3,3,3,,N1822,43.7745588068,-79.4412316023,309515.538,4848067.363
2679,4154711,2020,2021,1962,PRIVATE,18,Willowdale,296 FINCH AVE W,4,30,2021-10-21,81,Evaluation needs to be conducted in 2 years,18,5,4,4,4,3,4,,4,4,4,4,4,5,4,4,4,4,4,4,,N1822,43.7745588068,-79.4412316023,309515.538,4848067.363
9184,4154712,,2017,,PRIVATE,18,Willowdale,300 FINCH AVE W,4,30,2017-12-12,66,Evaluation needs to be conducted in 2 years,16,4,4,3,3,,4,,3,2,,3,3,4,3,3,4,3,4,3,,N1822,43.7744429688,-79.4417362415,309474.924,4848054.466
6005,4154712,,2019,,PRIVATE,18,Willowdale,300 FINCH AVE W,4,30,2019-11-06,79,Evaluation needs to be conducted in 2 years,17,5,3,5,5,3,5,,5,4,,3,3,3,3,5,4,3,3,5,,N1822,43.7744429688,-79.4417362415,309474.924,4848054.466
2680,4154712,,2021,,PRIVATE,18,Willowdale,300 FINCH AVE W,4,30,2021-10-21,84,Evaluation needs to be conducted in 2 years,17,4,4,5,4,4,4,,4,4,,4,4,5,4,4,4,4,4,5,,N1822,43.7744429688,-79.4417362415,309474.924,4848054.466
10807,4154713,2017,2017,1959,PRIVATE,18,Willowdale,4979 BATHURST ST,6,92,2017-10-30,69,Evaluation needs to be conducted in 2 years,18,4,2,4,4,3,4,2,2,3,,4,3,5,4,3,3,4,5,3,,N1822,43.775246245,-79.4428772024,309383.017,4848143.646
5972,4154713,2017,2019,1959,PRIVATE,18,Willowdale,4979 BATHURST ST,6,92,2019-11-06,90,Evaluation needs to be conducted in 3 years,18,5,3,5,5,4,5,5,5,5,,4,4,5,4,5,5,5,3,4,,N1822,43.775246245,-79.4428772024,309383.017,4848143.646
1522,4154713,2017,,1959,PRIVATE,18,Willowdale,4979 BATHURST ST,6,92,2022-10-13,94,Evaluation needs to be conducted in 3 years,17,5,5,5,5,5,5,5,5,4,,5,5,,3,5,5,5,3,5,,N1822,43.775246245,-79.4428772024,309383.017,4848143.646
10808,4154714,2017,2017,1959,PRIVATE,18,Willowdale,4981 BATHURST ST,6,96,2017-10-30,66,Evaluation needs to be conducted in 2 years,18,4,3,4,4,3,4,2,2,3,,3,3,5,3,3,4,4,2,3,,N1822,43.7762507176,-79.4431391381,309361.856,4848255.225
5973,4154714,2017,2019,1959,PRIVATE,18,Willowdale,4981 BATHURST ST,6,96,2019-11-06,90,Evaluation needs to be conducted in 3 years,18,5,3,5,5,4,5,5,5,5,,4,5,5,3,5,5,5,3,4,,N1822,43.7762507176,-79.4431391381,309361.856,4848255.225
1523,4154714,2017,,1959,PRIVATE,18,Willowdale,4981 BATHURST ST,6,96,2022-10-13,92,Evaluation needs to be conducted in 3 years,17,5,5,5,5,5,5,4,4,4,,5,5,,3,5,5,5,3,5,,N1822,43.7762507176,-79.4431391381,309361.856,4848255.225
11488,4154715,2017,2017,1996,SOCIAL HOUSING,18,Willowdale,33 DREWRY AVE,6,81,2017-10-12,71,Evaluation needs to be conducted in 2 years,19,4,4,4,3,3,3,3,3,3,,3,3,5,4,3,3,4,5,3,4,N1822,43.78632826,-79.41887979,311313.334,4849377.413
5971,4154715,2017,2019,1996,SOCIAL HOUSING,18,Willowdale,33 DREWRY AVE,6,81,2019-11-06,89,Evaluation needs to be conducted in 3 years,19,5,5,5,4,4,5,4,3,5,,4,5,5,5,4,3,5,5,4,5,N1822,43.78632826,-79.41887979,311313.334,4849377.413
1321,4154715,2017,,1996,SOCIAL HOUSING,18,Willowdale,33 DREWRY AVE,6,81,2022-10-27,94,Evaluation needs to be conducted in 3 years,19,5,5,5,4,5,5,4,5,5,,3,5,5,5,4,5,5,5,4,5,N1822,43.78632826,-79.41887979,311313.334,4849377.413
9141,4154716,2017,2017,1970,PRIVATE,18,Willowdale,5900 YONGE ST,13,233,2017-12-13,76,Evaluation needs to be conducted in 2 years,20,4,4,4,3,4,3,4,4,3,3,4,4,5,4,4,3,4,4,4,4,N1822,43.786291194,-79.417827386,311398.042,4849373.379
5844,4154716,2017,2019,1970,PRIVATE,18,Willowdale,5900 YONGE ST,13,233,2019-11-18,88,Evaluation needs to be conducted in 3 years,20,5,5,5,4,5,4,4,5,4,4,4,5,5,4,4,3,5,4,4,5,N1822,43.786291194,-79.417827386,311398.042,4849373.379
1501,4154716,2017,,1970,PRIVATE,18,Willowdale,5900 YONGE ST,13,233,2022-10-14,88,Evaluation needs to be conducted in 3 years,19,5,5,5,5,4,5,4,5,5,4,5,4,,3,5,5,4,3,3,5,N1822,43.786291194,-79.417827386,311398.042,4849373.379
11564,4154717,2017,2017,1970,PRIVATE,18,Willowdale,5754 YONGE ST,12,118,2017-10-11,58,Evaluation needs to be conducted in 1 year,18,3,2,3,2,3,2,2,2,4,,2,2,3,3,3,3,5,5,3,,N1822,43.7833043666,-79.4169610775,311468.369,4849040.654
7786,4154717,2017,2018,1970,PRIVATE,18,Willowdale,5754 YONGE ST,12,118,2019-01-11,89,Evaluation needs to be conducted in 3 years,19,5,5,4,4,4,5,5,5,5,4,4,4,5,4,4,4,5,5,4,,N1822,43.7833043666,-79.4169610775,311468.369,4849040.654
2641,4154717,2017,2021,1970,PRIVATE,18,Willowdale,5754 YONGE ST,12,118,2021-10-26,82,Evaluation needs to be conducted in 2 years,19,4,4,4,4,4,4,4,4,5,4,4,4,5,4,4,4,4,4,4,,N1822,43.7833043666,-79.4169610775,311468.369,4849040.654
11513,4154718,2017,2017,1963,PRIVATE,18,Willowdale,6000 YONGE ST,18,265,2017-10-12,53,Evaluation needs to be conducted in 1 year,19,2,2,4,2,3,3,3,2,3,3,3,3,3,2,1,3,3,3,2,,N1822,43.7883911434,-79.4180400688,311380.957,4849605.708
7818,4154718,2017,2018,1963,PRIVATE,18,Willowdale,6000 YONGE ST,18,265,2019-01-11,85,Evaluation needs to be conducted in 2 years,19,5,5,5,5,4,5,3,3,5,5,5,4,5,3,4,4,4,4,3,,N1822,43.7883911434,-79.4180400688,311380.957,4849605.708
4361,4154718,2017,2020,1963,PRIVATE,18,Willowdale,6000 YONGE ST,18,265,2020-11-12,82,Evaluation needs to be conducted in 2 years,18,4,5,5,3,4,4,3,4,4,,4,5,5,4,4,5,4,4,3,,N1822,43.7883911434,-79.4180400688,311380.957,4849605.708
1502,4154718,2017,,1963,PRIVATE,18,Willowdale,6000 YONGE ST,18,265,2022-10-14,99,Evaluation needs to be conducted in 3 years,19,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,4,5,N1822,43.7883911434,-79.4180400688,311380.957,4849605.708
8832,4154719,2017,2017,1982,SOCIAL HOUSING,18,Willowdale,6091 BATHURST ST,6,90,2017-12-21,63,Evaluation needs to be conducted in 1 year,18,3,3,3,4,2,4,3,3,3,,3,3,4,3,3,3,3,4,3,,N1821,43.787160745,-79.4456380716,309159.906,4849467.158
7684,4154719,2017,2018,1982,SOCIAL HOUSING,18,Willowdale,6091 BATHURST ST,6,90,2019-01-17,77,Evaluation needs to be conducted in 2 years,18,3,3,3,5,4,4,4,3,5,,4,3,5,4,4,4,3,4,4,,N1821,43.787160745,-79.4456380716,309159.906,4849467.158
4677,4154719,2017,2020,1982,SOCIAL HOUSING,18,Willowdale,6091 BATHURST ST,6,90,2020-10-30,79,Evaluation needs to be conducted in 2 years,18,4,4,5,4,5,4,4,3,5,,3,4,5,3,3,4,3,4,4,,N1821,43.787160745,-79.4456380716,309159.906,4849467.158
1555,4154719,2017,,1982,SOCIAL HOUSING,18,Willowdale,6091 BATHURST ST,6,90,2022-10-11,92,Evaluation needs to be conducted in 3 years,17,5,5,5,5,3,5,4,4,5,,5,5,,5,5,5,4,3,5,,N1821,43.787160745,-79.4456380716,309159.906,4849467.158
10743,4154720,2017,2017,1971,PRIVATE,18,Willowdale,6151 BATHURST ST,12,67,2017-10-31,66,Evaluation needs to be conducted in 2 years,18,4,3,4,3,3,3,3,3,3,,4,4,5,2,3,3,4,2,3,,N1821,43.7880506952,-79.445991695,309131.37,4849566.008
5974,4154720,2017,2019,1971,PRIVATE,18,Willowdale,6151 BATHURST ST,12,67,2019-11-06,93,Evaluation needs to be conducted in 3 years,20,5,5,5,5,5,5,4,4,5,4,4,5,5,4,5,5,5,5,3,5,N1821,43.7880506952,-79.445991695,309131.37,4849566.008
1543,4154720,2017,,1971,PRIVATE,18,Willowdale,6151 BATHURST ST,12,67,2022-10-11,95,Evaluation needs to be conducted in 3 years,19,5,5,5,4,5,5,5,5,5,4,5,4,,4,5,5,5,4,5,5,N1821,43.7880506952,-79.445991695,309131.37,4849566.008
9887,4154721,2017,2017,1960,PRIVATE,18,Willowdale,6161 BATHURST ST,13,170,2017-11-21,54,Evaluation needs to be conducted in 1 year,18,3,3,3,2,3,2,2,2,3,,2,2,4,3,3,3,3,3,3,,N1821,43.7888662031,-79.4463491989,309102.531,4849656.589
7604,4154721,2017,2018,1960,PRIVATE,18,Willowdale,6161 BATHURST ST,13,170,2019-01-23,77,Evaluation needs to be conducted in 2 years,18,4,4,3,4,3,4,4,3,4,,4,4,5,4,4,4,3,4,4,,N1821,43.7888662031,-79.4463491989,309102.531,4849656.589
4613,4154721,2017,2020,1960,PRIVATE,18,Willowdale,6161 BATHURST ST,13,170,2020-11-03,84,Evaluation needs to be conducted in 2 years,18,4,4,5,5,4,4,5,4,4,,3,4,5,4,4,5,4,4,4,,N1821,43.7888662031,-79.4463491989,309102.531,4849656.589
1544,4154721,2017,,1960,PRIVATE,18,Willowdale,6161 BATHURST ST,13,170,2022-10-11,95,Evaluation needs to be conducted in 3 years,16,5,5,5,5,5,5,,5,4,,3,5,,5,5,5,5,5,4,,N1821,43.7888662031,-79.4463491989,309102.531,4849656.589
11265,4154722,2017,2017,1960,PRIVATE,18,Willowdale,6171 BATHURST ST,13,170,2017-10-17,60,Evaluation needs to be conducted in 1 year,18,3,3,3,3,3,3,3,3,3,,3,3,3,3,3,3,3,3,3,,N1821,43.7898670361,-79.4451703972,309197.325,4849767.841
7603,4154722,2017,2018,1960,PRIVATE,18,Willowdale,6171 BATHURST ST,13,170,2019-01-23,81,Evaluation needs to be conducted in 2 years,19,4,4,3,4,4,5,4,4,4,3,4,4,4,4,4,5,4,5,4,,N1821,43.7898670361,-79.4451703972,309197.325,4849767.841
4614,4154722,2017,2020,1960,PRIVATE,18,Willowdale,6171 BATHURST ST,13,170,2020-11-03,83,Evaluation needs to be conducted in 2 years,18,5,4,5,4,4,4,5,4,4,,3,4,5,3,4,5,4,4,4,,N1821,43.7898670361,-79.4451703972,309197.325,4849767.841
1545,4154722,2017,,1960,PRIVATE,18,Willowdale,6171 BATHURST ST,13,170,2022-10-11,95,Evaluation needs to be conducted in 3 years,17,5,5,5,5,5,5,5,5,5,,3,5,,4,5,5,5,5,4,,N1821,43.7898670361,-79.4451703972,309197.325,4849767.841
8667,4154723,2017,2017,1972,TCHC,6,York Centre,6250 BATHURST ST,14,389,2018-01-04,72,Evaluation needs to be conducted in 2 years,19,3,3,3,3,4,3,3,4,4,,3,4,5,4,3,4,4,4,3,4,N0622,43.79163957,-79.446195585,309114.424,4849965.666
3175,4154723,2017,2021,1972,TCHC,6,York Centre,6250 BATHURST ST,14,389,2021-04-27,64,Evaluation needs to be conducted in 1 year,19,4,3,3,3,3,3,3,3,3,3,3,4,5,3,3,3,3,3,3,,N0622,43.79163957,-79.446195585,309114.424,4849965.666
1091,4154723,2017,,1972,TCHC,6,York Centre,6250 BATHURST ST,14,389,2022-11-08,76,Evaluation needs to be conducted in 2 years,18,4,3,5,4,3,3,4,4,4,,4,4,5,3,4,4,3,4,3,,N0622,43.79163957,-79.446195585,309114.424,4849965.666
10812,4154724,2017,2017,1969,PRIVATE,18,Willowdale,765 STEELES AVE W,22,167,2017-10-30,67,Evaluation needs to be conducted in 2 years,18,4,4,4,3,4,3,3,3,3,,3,3,2,4,3,3,4,4,3,,N1821,43.792379298,-79.442796041,309387.955,4850048.034
6015,4154724,2017,2019,1969,PRIVATE,18,Willowdale,765 STEELES AVE W,22,167,2019-11-06,89,Evaluation needs to be conducted in 3 years,18,5,5,5,5,4,5,4,4,4,,4,4,5,4,5,4,5,5,3,,N1821,43.792379298,-79.442796041,309387.955,4850048.034
1196,4154724,2017,,1969,PRIVATE,18,Willowdale,765 STEELES AVE W,22,167,2022-11-02,92,Evaluation needs to be conducted in 3 years,19,5,5,5,5,5,5,4,4,5,5,4,5,5,3,5,5,5,4,3,,N1821,43.792379298,-79.442796041,309387.955,4850048.034
11298,4154725,2017,2017,1970,PRIVATE,18,Willowdale,755 STEELES AVE W,15,194,2017-10-17,61,Evaluation needs to be conducted in 1 year,18,3,3,3,3,3,3,3,2,3,,3,2,3,4,3,4,4,4,2,,N1821,43.792827996,-79.441654119,309479.819,4850097.949
7561,4154725,2017,2018,1970,PRIVATE,18,Willowdale,755 STEELES AVE W,15,194,2019-01-24,82,Evaluation needs to be conducted in 2 years,18,3,4,3,3,4,4,4,4,4,,4,4,5,5,4,4,5,5,5,,N1821,43.792827996,-79.441654119,309479.819,4850097.949
4505,4154725,2017,2020,1970,PRIVATE,18,Willowdale,755 STEELES AVE W,15,194,2020-11-05,82,Evaluation needs to be conducted in 2 years,18,4,5,5,3,5,3,4,2,4,,4,5,5,4,4,4,5,4,4,,N1821,43.792827996,-79.441654119,309479.819,4850097.949
1195,4154725,2017,,1970,PRIVATE,18,Willowdale,755 STEELES AVE W,15,194,2022-11-02,97,Evaluation needs to be conducted in 3 years,18,5,5,5,4,5,5,5,5,5,,5,5,5,5,5,5,4,4,5,,N1821,43.792827996,-79.441654119,309479.819,4850097.949
11520,4154726,2017,2017,1968,PRIVATE,18,Willowdale,15 TANGREEN CRT,18,214,2017-10-12,60,Evaluation needs to be conducted in 1 year,19,3,2,4,3,3,4,2,2,3,3,3,3,4,3,2,2,3,5,3,,N1822,43.79522866,-79.425192074,310804.393,4850365.749
7321,4154726,2017,2018,1968,PRIVATE,18,Willowdale,15 TANGREEN CRT,18,214,2019-02-07,85,Evaluation needs to be conducted in 2 years,19,5,4,5,5,4,5,4,4,5,4,4,5,5,3,4,4,4,4,3,,N1822,43.79522866,-79.425192074,310804.393,4850365.749
4389,4154726,2017,2020,1968,PRIVATE,18,Willowdale,15 TANGREEN CRT,18,214,2020-11-10,91,Evaluation needs to be conducted in 3 years,19,5,5,5,4,5,5,3,4,4,5,5,5,5,4,4,5,5,4,4,,N1822,43.79522866,-79.425192074,310804.393,4850365.749
11518,4154727,2017,2017,1968,PRIVATE,18,Willowdale,5 TANGREEN CRT,18,214,2017-10-12,58,Evaluation needs to be conducted in 1 year,19,4,2,3,3,3,4,2,2,4,2,3,3,4,2,2,3,3,4,2,,N1822,43.796156565,-79.425260494,310798.795,4850468.83
7322,4154727,2017,2018,1968,PRIVATE,18,Willowdale,5 TANGREEN CRT,18,214,2019-02-07,85,Evaluation needs to be conducted in 2 years,19,5,4,5,5,4,5,4,5,5,4,4,5,5,3,4,3,4,4,3,,N1822,43.796156565,-79.425260494,310798.795,4850468.83
4388,4154727,2017,2020,1968,PRIVATE,18,Willowdale,5 TANGREEN CRT,18,214,2020-11-10,89,Evaluation needs to be conducted in 3 years,19,5,5,5,4,5,5,3,4,4,5,5,5,5,3,4,5,5,4,4,,N1822,43.796156565,-79.425260494,310798.795,4850468.83
8917,4154728,2017,2017,1968,PRIVATE,18,Willowdale,6210 YONGE ST,7,83,2017-12-20,69,Evaluation needs to be conducted in 2 years,17,4,3,4,4,3,4,,3,3,,3,3,5,3,4,3,4,3,3,,N1822,43.7939825101,-79.4198227886,311236.874,4850226.759
5846,4154728,2017,2019,1968,PRIVATE,18,Willowdale,6210 YONGE ST,7,83,2019-11-18,88,Evaluation needs to be conducted in 3 years,17,5,5,5,4,4,5,,4,4,,4,4,5,4,4,5,5,4,4,,N1822,43.7939825101,-79.4198227886,311236.874,4850226.759
1504,4154728,2017,,1968,PRIVATE,18,Willowdale,6210 YONGE ST,7,83,2022-10-14,85,Evaluation needs to be conducted in 2 years,16,5,5,4,4,4,5,,5,4,,3,5,,3,5,5,3,3,5,,N1822,43.7939825101,-79.4198227886,311236.874,4850226.759
11021,4154730,2017,2017,1970,PRIVATE,15,Don Valley West,17 FARMSTEAD RD,19,136,2017-10-24,76,Evaluation needs to be conducted in 2 years,20,4,4,3,4,4,4,4,4,4,4,3,4,5,3,4,3,4,4,3,4,N1522,43.754388627,-79.361675806,315923.296,4845835.076
6489,4154730,2017,2019,1970,PRIVATE,15,Don Valley West,17 FARMSTEAD RD,19,136,2019-10-28,79,Evaluation needs to be conducted in 2 years,20,5,3,5,5,4,5,5,4,5,3,3,4,5,3,4,3,4,3,2,4,N1522,43.754388627,-79.361675806,315923.296,4845835.076
2936,4154730,2017,2021,1970,PRIVATE,15,Don Valley West,17 FARMSTEAD RD,19,136,2021-10-06,79,Evaluation needs to be conducted in 2 years,20,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,3,4,4,3,4,N1522,43.754388627,-79.361675806,315923.296,4845835.076
11036,4154731,2017,2017,1970,PRIVATE,15,Don Valley West,750 YORK MILLS RD,19,137,2017-10-24,76,Evaluation needs to be conducted in 2 years,20,4,4,3,4,4,4,4,4,4,4,3,4,5,3,4,4,4,3,3,4,N1522,43.75370469,-79.360849641,315989.952,4845759.204
6483,4154731,2017,2019,1970,PRIVATE,15,Don Valley West,750 YORK MILLS RD,19,137,2019-10-28,82,Evaluation needs to be conducted in 2 years,20,4,3,5,4,4,5,4,5,5,3,4,4,5,3,4,4,5,4,2,5,N1522,43.75370469,-79.360849641,315989.952,4845759.204
2996,4154731,2017,2021,1970,PRIVATE,15,Don Valley West,750 YORK MILLS RD,19,137,2021-09-30,77,Evaluation needs to be conducted in 2 years,19,5,4,4,4,4,4,4,3,4,4,4,4,5,3,4,3,4,3,3,,N1522,43.75370469,-79.360849641,315989.952,4845759.204
11035,4154732,2017,2017,1970,PRIVATE,15,Don Valley West,740 YORK MILLS RD,19,137,2017-10-24,76,Evaluation needs to be conducted in 2 years,20,4,4,3,4,4,4,4,4,4,4,3,4,5,3,4,3,4,4,3,4,N1522,43.753559279,-79.362054281,315892.973,4845742.888
6481,4154732,2017,2019,1970,PRIVATE,15,Don Valley West,740 YORK MILLS RD,19,137,2019-10-28,77,Evaluation needs to be conducted in 2 years,20,4,3,5,3,4,3,4,5,5,5,4,4,5,3,3,3,5,3,2,4,N1522,43.753559279,-79.362054281,315892.973,4845742.888
2995,4154732,2017,2021,1970,PRIVATE,15,Don Valley West,740 YORK MILLS RD,19,137,2021-09-30,79,Evaluation needs to be conducted in 2 years,19,5,4,4,4,4,4,4,4,4,4,4,4,5,2,4,4,4,4,3,,N1522,43.753559279,-79.362054281,315892.973,4845742.888
9011,4154733,2017,2017,1974,PRIVATE,15,Don Valley West,44 STUBBS DR,7,84,2017-12-18,78,Evaluation needs to be conducted in 2 years,20,4,3,4,4,4,4,4,4,4,4,4,3,5,4,4,4,4,4,3,4,N1522,43.7614984852,-79.3630422116,315812.209,4846623.819
6467,4154733,2017,2019,1974,PRIVATE,15,Don Valley West,44 STUBBS DR,7,84,2019-10-28,89,Evaluation needs to be conducted in 3 years,20,5,3,5,5,5,5,5,4,5,5,5,4,5,3,5,3,5,4,3,5,N1522,43.7614984852,-79.3630422116,315812.209,4846623.819
1569,4154733,2017,,1974,PRIVATE,15,Don Valley West,44 STUBBS DR,7,84,2022-10-06,92,Evaluation needs to be conducted in 3 years,20,5,5,5,4,5,4,5,5,5,4,5,5,5,4,5,4,4,4,4,5,N1522,43.7614984852,-79.3630422116,315812.209,4846623.819
10147,4154734,2017,2017,1963,PRIVATE,15,Don Valley West,37 LORD SEATON RD,4,49,2017-11-14,74,Evaluation needs to be conducted in 2 years,18,4,3,3,4,4,4,4,3,4,,4,4,5,4,3,3,4,4,3,,N1521,43.7525712767,-79.4059855057,312355.623,4845627.205
6498,4154734,2017,2019,1963,PRIVATE,15,Don Valley West,37 LORD SEATON RD,4,49,2019-10-28,91,Evaluation needs to be conducted in 3 years,19,5,5,4,5,4,5,5,4,5,4,5,4,5,5,5,4,4,5,3,,N1521,43.7525712767,-79.4059855057,312355.623,4845627.205
1558,4154734,2017,,1963,PRIVATE,15,Don Valley West,37 LORD SEATON RD,4,49,2022-10-10,92,Evaluation needs to be conducted in 3 years,19,4,5,5,5,4,5,4,5,5,5,4,4,5,4,5,5,5,4,4,,N1521,43.7525712767,-79.4059855057,312355.623,4845627.205
10237,4154735,2017,2017,1959,PRIVATE,15,Don Valley West,28 UPPER CANADA DR,4,54,2017-11-13,78,Evaluation needs to be conducted in 2 years,18,4,3,4,4,4,4,4,4,3,,3,4,5,4,4,4,4,4,4,,N1521,43.7522561858,-79.4046460528,312453.741,4845645.083
