,RSN,YEAR_REGISTERED,YEAR_EVALUATED,YEAR_BUILT,PROPERTY_TYPE,WARD,WARDNAME,SITE_ADDRESS,CONFIRMED_STOREYS,CONFIRMED_UNITS,EVALUATION_COMPLETED_ON,SCORE,RESULTS_OF_SCORE,NO_OF_AREAS_EVALUATED,ENTRANCE_LOBBY,ENTRANCE_DOORS_WINDOWS,SECURITY,STAIRWELLS,LAUNDRY_ROOMS,INTERNAL_GUARDS_HANDRAILS,GARBAGE_CHUTE_ROOMS,GARBAGE_BIN_STORAGE_AREA,ELEVATORS,STORAGE_AREAS_LOCKERS,INTERIOR_WALL_CEILING_FLOOR,INTERIOR_LIGHTING_LEVELS,GRAFFITI,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,BALCONY_GUARDS,WATER_PEN_EXT_BLDG_ELEMENTS,PARKING_AREA,OTHER_FACILITIES,GRID,LATITUDE,LONGITUDE,X,Y
4378,4155771,2017,2020,1958,PRIVATE,3,Etobicoke-Lakeshore,2495 LAKE SHORE BLVD W,3,45,2020-11-12,73,Evaluation needs to be conducted in 2 years,16,4,3,4,3,3,3,,4,,3,4,4,5,4,3,4,,4,3,,W0336,43.6123424282,-79.4891538112,305659.804,4830044.418
198,4155771,2017,,1958,PRIVATE,3,Etobicoke-Lakeshore,2495 LAKE SHORE BLVD W,3,45,2022-12-19,88,Evaluation needs to be conducted in 3 years,15,3,3,5,4,5,3,,5,,,5,5,5,5,3,5,,5,5,,W0336,43.6123424282,-79.4891538112,305659.804,4830044.418
11231,4155772,2017,2017,1951,PRIVATE,3,Etobicoke-Lakeshore,2407 LAKE SHORE BLVD W,3,22,2017-10-17,59,Evaluation needs to be conducted in 1 year,15,3,3,3,3,3,2,,3,,,3,2,4,3,3,3,,3,3,,W0336,43.6142313948,-79.4887162649,305695.096,4830254.277
7048,4155772,2017,2018,1951,PRIVATE,3,Etobicoke-Lakeshore,2407 LAKE SHORE BLVD W,3,22,2019-02-26,80,Evaluation needs to be conducted in 2 years,15,4,4,5,4,4,3,,3,,,4,4,5,4,4,4,,4,4,,W0336,43.6142313948,-79.4887162649,305695.096,4830254.277
4341,4155772,2017,2020,1951,PRIVATE,3,Etobicoke-Lakeshore,2407 LAKE SHORE BLVD W,3,22,2020-11-12,79,Evaluation needs to be conducted in 2 years,15,4,4,5,4,4,3,,4,,,4,5,4,4,4,3,,4,3,,W0336,43.6142313948,-79.4887162649,305695.096,4830254.277
197,4155772,2017,,1951,PRIVATE,3,Etobicoke-Lakeshore,2407 LAKE SHORE BLVD W,3,22,2022-12-19,75,Evaluation needs to be conducted in 2 years,16,3,5,5,5,3,3,,3,,,4,5,3,3,3,3,,3,4,5,W0336,43.6142313948,-79.4887162649,305695.096,4830254.277
8678,4155773,2017,2017,1966,PRIVATE,16,Don Valley East,100 ROWENA DR,12,248,2018-01-04,59,Evaluation needs to be conducted in 1 year,20,3,3,3,3,3,3,3,3,3,2,3,3,5,3,3,3,3,2,2,3,N1625,43.7517238195,-79.3143707442,319733.599,4845545.465
6998,4155773,2017,2018,1966,PRIVATE,16,Don Valley East,100 ROWENA DR,12,248,2019-03-01,79,Evaluation needs to be conducted in 2 years,20,4,4,5,3,4,4,4,4,3,3,5,5,5,4,4,3,4,4,3,4,N1625,43.7517238195,-79.3143707442,319733.599,4845545.465
3533,4155773,2017,2020,1966,PRIVATE,16,Don Valley East,100 ROWENA DR,12,248,2020-12-17,80,Evaluation needs to be conducted in 2 years,18,4,4,4,3,5,3,3,4,4,,4,5,5,3,4,4,4,4,5,,N1625,43.7517238195,-79.3143707442,319733.599,4845545.465
1632,4155773,2017,,1966,PRIVATE,16,Don Valley East,100 ROWENA DR,12,248,2022-09-30,78,Evaluation needs to be conducted in 2 years,19,4,4,4,4,3,4,4,4,3,,4,4,5,4,4,4,4,4,3,4,N1625,43.7517238195,-79.3143707442,319733.599,4845545.465
