Fri Jan 09 2026 10:22:25 GMT-0500 (Eastern Standard Time) - Run Time: 2826ms

Cross Tabulation Query Form - Trip - 2022

Row: 2022 TTS zone of destination - tts22_dest
Column: Primary travel mode of trip - mode_prime


Filters:
Regional municipality of household - region_hhld In 1

Trip 2022 
Table: 

,Transit excluding GO rail,Cycle,Auto driver,E-scooter,GO rail only,Joint GO rail and local transit,Motorcycle,Other,Auto passenger,School bus,Taxi passenger,Paid rideshare,Walk
1197,1308,254,2163,0,0,4,0,0,998,30,77,137,2468
1198,3109,608,1942,0,0,17,4,0,248,0,20,107,1389
1199,1772,213,2936,0,0,0,17,0,653,0,13,10,2438
1200,1037,149,4025,0,0,0,0,0,1940,341,16,0,954
1201,721,80,1122,0,0,0,0,0,110,0,0,123,473
1202,2002,292,3181,0,0,0,0,0,1700,169,15,192,2564
1203,612,78,3677,0,0,0,0,0,1436,362,104,0,1458
1204,1074,142,7011,401,0,0,9,0,1712,145,8,0,2466
1205,964,118,5557,0,0,0,0,0,1514,124,65,0,1424
1206,2006,32,6182,0,0,0,6,37,1547,37,9,14,1181
1207,2467,333,6879,84,0,0,0,0,2420,161,43,33,6087
1208,2490,337,4550,195,0,0,9,0,1618,12,42,9,4348
1209,462,44,1988,0,0,0,0,5,473,44,36,49,353
1210,317,133,2238,0,0,0,0,0,605,12,0,226,1428
1211,1755,379,3622,0,0,0,0,0,1500,59,23,28,2240
1212,3192,117,3436,9,0,0,0,0,1033,67,27,38,3381
1213,2933,431,3089,0,0,29,0,0,718,27,117,98,2952
1214,3023,372,4271,0,0,9,30,0,1568,52,105,63,3080
1215,5099,583,3585,0,0,14,0,0,1139,0,56,133,5243
1216,1232,113,2540,87,0,0,0,0,1198,22,102,149,2024
1217,2199,269,1869,0,0,0,0,0,631,4,174,114,834
1218,299,386,2459,0,0,0,0,0,675,0,8,98,660
1219,559,198,3156,0,0,0,0,0,1344,60,37,7,1589
1220,39,55,322,0,0,0,0,0,58,0,0,0,233
1221,4108,560,4489,115,0,16,0,0,1053,440,62,418,5178
1222,661,107,1929,0,0,0,0,0,813,22,0,0,2317
1223,6016,326,3574,20,0,40,0,4,870,13,46,229,6919
1224,2641,369,1663,27,0,31,0,19,386,143,26,137,3905
1225,6581,415,6220,0,0,5,35,77,2310,87,205,351,9833
1226,2705,491,4919,0,0,0,8,0,1597,110,7,200,3772
1227,368,111,1686,0,0,0,0,0,385,41,15,40,1082
1228,1696,42,3165,0,0,0,144,0,1474,36,51,30,3258
1229,458,168,3055,0,0,0,0,0,688,93,11,58,968
1230,2859,289,8127,0,0,0,0,0,3919,60,60,239,6812
1231,1640,575,7062,0,0,0,0,0,2144,114,109,114,4674
1232,3639,506,7176,13,0,0,6,0,2126,41,138,101,418
1233,860,253,4527,0,0,0,0,0,1832,47,0,56,2115
1234,1022,305,9693,0,0,0,0,0,2645,0,30,96,906
1235,1131,70,5948,0,0,0,0,0,2044,0,0,135,254
1236,2682,430,6318,13,0,0,0,11,2448,630,0,227,6168
1237,4890,328,11136,0,0,0,0,0,3599,431,0,235,6882
1238,397,0,2822,0,0,0,0,0,571,0,124,0,198
1239,256,403,1814,0,0,0,0,0,969,221,11,5,431
1240,60,4,2267,0,0,0,0,0,1078,17,0,0,72
1241,831,39,7546,34,0,0,144,0,2124,28,73,91,710
1242,1358,70,4409,0,0,0,0,0,1399,26,15,73,537
1243,1059,23,3451,0,0,0,0,0,1467,171,0,33,1019
1244,1643,102,6352,5,0,0,0,0,2936,105,24,0,1286
1245,1240,8,7222,0,0,0,0,0,1950,42,22,0,394
1246,1476,0,2633,0,0,0,0,0,1121,328,46,49,905
1247,1300,64,5245,0,15,0,0,0,2135,258,30,0,2773
1248,1454,10,5261,46,0,0,0,0,2113,24,0,31,1017
1249,49,5,1624,0,0,0,0,0,709,14,0,0,316
1250,1125,9,6973,0,0,0,0,0,2648,81,24,11,518
1251,702,0,5256,0,3,0,0,0,1757,118,0,28,732
1252,737,60,4877,0,0,0,0,18,1405,0,66,26,1278
1253,2827,0,9281,0,4,0,23,0,4462,490,34,171,2715
1254,164,23,1767,0,0,0,0,0,387,0,0,81,18
1255,1002,24,3652,0,0,0,0,0,2149,442,17,62,1030
1256,743,107,5931,0,0,0,0,13,1946,0,17,66,1300
1257,1105,0,3636,0,0,0,0,0,1026,0,19,0,335
1258,629,56,4224,0,0,0,0,0,1081,272,0,41,877
1259,739,44,2977,60,0,0,0,0,1216,1013,0,360,1491
1260,770,26,3113,16,0,0,0,0,902,0,0,0,1139
1261,160,0,1815,0,0,0,0,0,444,0,0,14,121
1262,1309,117,2790,0,0,0,0,0,1767,0,0,0,817
1263,610,151,2494,0,0,0,7,13,841,103,0,39,1269
1264,5355,278,7121,46,41,0,55,0,2334,114,50,352,3996
1265,3002,64,3040,29,63,0,7,0,977,155,73,40,2966
1266,2915,400,4220,24,83,0,8,0,1447,47,27,60,4727
1267,1716,94,5615,0,187,49,78,0,1675,72,27,76,5142
1268,1567,274,6145,116,29,0,0,25,1682,113,33,166,5858
1269,1271,753,3074,55,0,0,46,0,686,12,63,21,3541
1270,1379,803,3142,0,15,0,0,0,967,27,45,112,3274
1271,1048,304,2793,29,104,18,0,49,829,0,15,56,1939
1272,3217,665,4139,46,66,45,0,0,1335,98,73,15,5500
1273,483,71,2713,0,0,0,0,0,581,0,42,0,579
1274,273,196,1156,0,0,0,0,0,441,328,0,28,265
1275,2419,522,6143,35,9,0,36,5,2442,406,93,45,2436
1276,1743,498,2587,24,0,35,25,0,1322,133,11,0,4635
1277,1492,789,1771,0,8,0,0,0,556,62,0,14,2619
1278,1718,1179,4637,115,6,0,0,0,1135,197,9,212,5205
1279,1435,894,3057,0,0,3,33,0,787,23,7,154,3998
1280,941,312,1570,0,0,0,49,0,370,0,89,26,2070
1281,2728,333,1757,53,0,0,0,0,801,7,0,105,3003
1282,1392,505,1762,0,0,21,0,12,472,0,23,426,2080
1283,1710,1061,4018,0,4,0,6,16,1791,443,11,144,3895
1284,792,377,2057,0,0,0,0,0,755,0,0,12,1350
1285,2648,744,4167,0,0,8,0,12,1483,39,76,80,2682
1286,1356,248,1423,0,0,0,0,0,783,50,0,0,2081
